time (Julian Date),irradiance,uncertainty
2432820.0,1361.7711,0.0085393831
2432821.0,1361.6149,0.0082032299
2432822.0,1361.7904,0.0079577318
2432823.0,1361.7072,0.0079204203
2432824.0,1361.3464,0.0054811119
2432825.0,1361.1422,0.0050834478
2432826.0,1361.179,0.0049062577
2432827.0,1361.1461,0.0050050411
2432828.0,1361.2689,0.0049539285
2432829.0,1361.1627,0.0054297526
2432830.0,1361.0805,0.0055112907
2432831.0,1361.3975,0.0052742532
2432832.0,1361.7245,0.0058748721
2432833.0,1362.0851,0.0076642399
2432834.0,1361.6503,0.0063220652
2432835.0,1361.4679,0.006819318
2432836.0,1361.5538,0.0085530121
2432837.0,1361.7919,0.010267079
2432838.0,1361.4473,0.011385888
2432839.0,1360.938,0.0111155
2432840.0,1361.0248,0.010332455
2432841.0,1361.0922,0.0096257352
2432842.0,1361.014,0.0093090677
2432843.0,1361.094,0.0081259159
2432844.0,1361.1223,0.0083178114
2432845.0,1361.5004,0.0082431131
2432846.0,1361.9431,0.0087988499
2432847.0,1361.6153,0.0076046037
2432848.0,1361.7021,0.0076173895
2432849.0,1361.5107,0.0074096624
2432850.0,1361.4358,0.0078569656
2432851.0,1360.9906,0.0074361459
2432852.0,1360.9446,0.0063303488
2432853.0,1361.124,0.006107042
2432854.0,1361.41,0.0069942942
2432855.0,1361.4488,0.0062832254
2432856.0,1361.3711,0.005392784
2432857.0,1361.4312,0.0057454515
2432858.0,1361.6165,0.0056177183
2432859.0,1361.5336,0.0063074822
2432860.0,1361.6428,0.0069381164
2432861.0,1361.8754,0.0069765423
2432862.0,1361.8645,0.0069623813
2432863.0,1362.1756,0.0083981007
2432864.0,1362.2499,0.0094021853
2432865.0,1361.8156,0.0082173156
2432866.0,1361.7625,0.007854358
2432867.0,1361.8895,0.0082883095
2432868.0,1361.8158,0.0085219085
2432869.0,1362.2256,0.0092364758
2432870.0,1362.3046,0.0089856521
2432871.0,1362.1102,0.008807351
2432872.0,1362.0361,0.0097168997
2432873.0,1361.4754,0.0096849656
2432874.0,1361.6187,0.010252355
2432875.0,1361.559,0.010850511
2432876.0,1362.1021,0.010408987
2432877.0,1362.2453,0.010113889
2432878.0,1362.1558,0.0090700215
2432879.0,1361.7821,0.0067728371
2432880.0,1361.73,0.0061163766
2432881.0,1361.6946,0.0063475887
2432882.0,1361.471,0.0054032181
2432883.0,1361.4762,0.0053264638
2432884.0,1361.473,0.0051485457
2432885.0,1361.4726,0.0047810335
2432886.0,1361.338,0.0042082252
2432887.0,1361.3842,0.0044393305
2432888.0,1361.4024,0.0046648541
2432889.0,1361.727,0.0060106596
2432890.0,1361.5575,0.0055772166
2432891.0,1361.5356,0.0058952342
2432892.0,1361.6049,0.0067976512
2432893.0,1361.7047,0.0079209684
2432894.0,1361.73,0.0086293809
2432895.0,1361.524,0.0090595573
2432896.0,1361.4554,0.0098809269
2432897.0,1361.43,0.009695882
2432898.0,1361.19,0.010464732
2432899.0,1361.3093,0.010842947
2432900.0,1361.0023,0.010236226
2432901.0,1361.3678,0.011111664
2432902.0,1361.7221,0.011195074
2432903.0,1361.4632,0.011995419
2432904.0,1361.5984,0.011780997
2432905.0,1362.0374,0.01282353
2432906.0,1361.8254,0.013034122
2432907.0,1361.3857,0.012538233
2432908.0,1361.4083,0.013118251
2432909.0,1360.9495,0.012309501
2432910.0,1360.5489,0.013032675
2432911.0,1360.572,0.012818223
2432912.0,1360.7836,0.012020201
2432913.0,1361.083,0.011116405
2432914.0,1361.4205,0.010405376
2432915.0,1361.3292,0.0088180638
2432916.0,1361.6404,0.0093161753
2432917.0,1361.5071,0.0075758118
2432918.0,1361.235,0.0065324505
2432919.0,1361.1775,0.0060525877
2432920.0,1361.4386,0.0059215113
2432921.0,1361.6614,0.0060235863
2432922.0,1361.798,0.0067863689
2432923.0,1361.6313,0.0065776005
2432924.0,1361.4855,0.0060452257
2432925.0,1361.5257,0.0067811014
2432926.0,1361.338,0.0073740561
2432927.0,1361.559,0.0075942908
