time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
122064.0,1360.5892333984375,0.06572756916284561
122095.0,1360.59814453125,0.03382657468318939
122125.0,1360.6041259765625,0.03580734133720398
122156.0,1360.646728515625,0.05018749460577965
122186.0,1360.6856689453125,0.05208088830113411
122217.0,1360.783935546875,0.08788825571537018
122248.0,1360.67041015625,0.094499371945858
122278.0,1360.770751953125,0.09886026382446289
122309.0,1360.7587890625,0.09966094046831131
122339.0,1360.7078857421875,0.1613640934228897
122370.0,1360.880615234375,0.11845100671052933
122401.0,1360.8345947265625,0.09123829752206802
122429.0,1360.6263427734375,0.14733172953128815
122460.0,1360.7291259765625,0.1771538108587265
122490.0,1361.0252685546875,0.16957901418209076
122521.0,1361.0264892578125,0.1947747766971588
122551.0,1360.9521484375,0.2096843272447586
122582.0,1360.959716796875,0.16094136238098145
122613.0,1360.9947509765625,0.19069240987300873
122643.0,1360.906494140625,0.32994186878204346
122674.0,1361.2757568359375,0.23629111051559448
122704.0,1361.0799560546875,0.19474676251411438
122735.0,1360.8270263671875,0.31215596199035645
122766.0,1360.306884765625,0.5773666501045227
122794.0,1361.198974609375,0.4333849251270294
122825.0,1361.203857421875,0.4272410273551941
122855.0,1361.3056640625,0.4304729700088501
122886.0,1361.560302734375,0.36723196506500244
122916.0,1360.4669189453125,0.6429709792137146
122947.0,1360.903564453125,0.5865799784660339
122978.0,1361.1959228515625,0.5564074516296387
123008.0,1361.6436767578125,0.543077826499939
123039.0,1361.4478759765625,0.6139626502990723
123069.0,1360.9578857421875,0.6640292406082153
123100.0,1361.21142578125,0.6498304605484009
123131.0,1360.8533935546875,0.7284200191497803
123159.0,1360.62890625,0.8206196427345276
123190.0,1360.7042236328125,0.8788325786590576
123220.0,1361.13916015625,0.9580467939376831
123251.0,1362.1011962890625,0.7169920206069946
123281.0,1361.7237548828125,0.7829042673110962
123312.0,1361.222900390625,0.8777350187301636
123343.0,1361.883056640625,0.7364339828491211
123373.0,1361.6634521484375,0.7751350998878479
123404.0,1361.903076171875,0.6543863415718079
123434.0,1361.659423828125,0.6134580373764038
123465.0,1361.95263671875,0.5224239230155945
123496.0,1361.7249755859375,0.45716291666030884
123525.0,1361.6380615234375,0.48988187313079834
123556.0,1361.0960693359375,0.8557371497154236
123586.0,1361.096435546875,0.8149195313453674
123617.0,1361.2706298828125,0.7434663772583008
123647.0,1361.6278076171875,0.6279855370521545
123678.0,1361.65966796875,0.6961650252342224
123709.0,1361.55126953125,0.634524405002594
123739.0,1361.60693359375,0.5947034358978271
123770.0,1361.7855224609375,0.481381356716156
123800.0,1361.0694580078125,0.6790153384208679
123831.0,1361.390380859375,0.6533188819885254
123862.0,1360.8199462890625,0.9167701005935669
123890.0,1361.245849609375,0.8589043021202087
123921.0,1361.8492431640625,0.6776165962219238
123951.0,1361.81787109375,0.5400733947753906
123982.0,1361.48291015625,0.5487698316574097
124012.0,1361.470458984375,0.5871941447257996
124043.0,1361.1123046875,0.6290267705917358
124074.0,1361.337158203125,0.6636934280395508
124104.0,1361.411865234375,0.6128764748573303
124135.0,1361.310546875,0.6634727120399475
124165.0,1361.6109619140625,0.5644623041152954
124196.0,1361.42724609375,0.4918718934059143
124227.0,1360.9884033203125,0.5162532925605774
124255.0,1361.3714599609375,0.5086573362350464
124286.0,1360.6473388671875,0.5846685171127319
124316.0,1361.177978515625,0.46917444467544556
124347.0,1361.248046875,0.3726837635040283
124377.0,1361.11279296875,0.3862505853176117
124408.0,1361.0787353515625,0.3741253912448883
124439.0,1361.254150390625,0.2544867992401123
124469.0,1361.14111328125,0.24873168766498566
124500.0,1360.94140625,0.26225370168685913
124530.0,1361.0018310546875,0.24303877353668213
124561.0,1360.8070068359375,0.25369662046432495
124592.0,1361.0625,0.24133051931858063
124620.0,1360.997802734375,0.2735445499420166
124651.0,1360.6427001953125,0.40968239307403564
124681.0,1360.1708984375,0.5746254920959473
124712.0,1360.2626953125,0.5021435022354126
124742.0,1361.13916015625,0.2911663353443146
124773.0,1361.1224365234375,0.2730749547481537
124804.0,1361.02490234375,0.33563992381095886
124834.0,1361.00390625,0.26278406381607056
124865.0,1361.0980224609375,0.2608446180820465
124895.0,1360.873046875,0.22305366396903992
124926.0,1360.87744140625,0.18495868146419525
124957.0,1360.7962646484375,0.13091987371444702
124986.0,1360.8236083984375,0.09632529318332672
125017.0,1360.79248046875,0.1293761432170868
125047.0,1360.9073486328125,0.12503907084465027
125078.0,1360.9293212890625,0.17268088459968567
125108.0,1360.8221435546875,0.20817497372627258
125139.0,1360.9019775390625,0.23108580708503723
125170.0,1360.9068603515625,0.15106984972953796
125200.0,1360.7371826171875,0.12797565758228302
125231.0,1360.63330078125,0.13616743683815002
125261.0,1360.7376708984375,0.15335218608379364
125292.0,1360.721923828125,0.11504735797643661
125323.0,1360.79736328125,0.06403656303882599
125351.0,1360.7286376953125,0.060619961470365524
125382.0,1360.5733642578125,0.11776016652584076
125412.0,1360.7152099609375,0.08091017603874207
125443.0,1360.646728515625,0.0866723284125328
125473.0,1360.69384765625,0.060351621359586716
125504.0,1360.6177978515625,0.08760187774896622
125535.0,1360.7099609375,0.08015740662813187
125565.0,1360.718017578125,0.06035785749554634
125596.0,1360.7056884765625,0.049851201474666595
125626.0,1360.7034912109375,0.04937192425131798
125657.0,1360.69775390625,0.04714882746338844
125688.0,1360.6865234375,0.04484906792640686
125716.0,1360.6019287109375,0.07098672538995743
125747.0,1360.70361328125,0.047736216336488724
125777.0,1360.681640625,0.042783502489328384
125808.0,1360.668701171875,0.03985075652599335
125838.0,1360.6751708984375,0.042963556945323944
125869.0,1360.7115478515625,0.059829410165548325
125900.0,1360.7015380859375,0.045467402786016464
125930.0,1360.8026123046875,0.06804127246141434
125961.0,1360.7476806640625,0.06433907151222229
125991.0,1360.7320556640625,0.07279800623655319
126022.0,1360.736572265625,0.1558132767677307
126053.0,1360.7950439453125,0.1182008758187294
126081.0,1360.8118896484375,0.07389725744724274
126112.0,1360.789306640625,0.07678084075450897
126142.0,1360.7713623046875,0.1265864372253418
126173.0,1360.776611328125,0.15564711391925812
126203.0,1361.0279541015625,0.15647101402282715
126234.0,1360.7093505859375,0.1718980222940445
126265.0,1361.0045166015625,0.18942652642726898
126295.0,1360.8878173828125,0.2853747010231018
126326.0,1360.9859619140625,0.4261559844017029
126356.0,1361.269287109375,0.3997964560985565
126387.0,1360.984130859375,0.4314604699611664
126418.0,1360.5811767578125,0.6090524792671204
126447.0,1361.296142578125,0.5408170223236084
126478.0,1361.82958984375,0.5539620518684387
126508.0,1361.090087890625,0.5877168774604797
126539.0,1361.3651123046875,0.5235101580619812
126569.0,1361.3560791015625,0.5736556053161621
126600.0,1361.36474609375,0.8002265095710754
126631.0,1362.0767822265625,0.8542049527168274
126661.0,1361.8953857421875,0.7503207921981812
126692.0,1361.5076904296875,1.0238250494003296
126722.0,1361.691162109375,0.971088171005249
126753.0,1362.3287353515625,0.8601927161216736
126784.0,1362.1600341796875,0.6458654403686523
126812.0,1361.8956298828125,0.6829612255096436
126843.0,1361.9156494140625,0.7132948637008667
126873.0,1362.0538330078125,0.860969066619873
126904.0,1361.230224609375,1.0471254587173462
126934.0,1361.7757568359375,0.9161486625671387
126965.0,1362.1826171875,0.8555989861488342
126996.0,1361.2679443359375,1.1424106359481812
127026.0,1361.73876953125,1.2066221237182617
127057.0,1362.7935791015625,1.0983991622924805
127087.0,1361.938720703125,1.2240785360336304
127118.0,1362.0875244140625,0.9794624447822571
127149.0,1362.0093994140625,0.8763687014579773
127177.0,1361.032470703125,1.0342192649841309
127208.0,1361.84765625,1.0496269464492798
127238.0,1362.0693359375,0.8947089314460754
127269.0,1362.0782470703125,0.8603295683860779
127299.0,1361.6822509765625,0.9591028094291687
127330.0,1361.920654296875,0.9262986779212952
127361.0,1362.0382080078125,1.0327426195144653
127391.0,1361.989013671875,0.8558362126350403
